CLASS_COUNT
CLASS_OPERATION_COUNT top2
CLASS_OPERATION_COUNT bottom1
CLASS_OPERATION_COUNT middle2
CLASS_OPERATION_COUNT top1
CLASS_OPERATION_COUNT middle1
CLASS_ATTR_COUNT top2
CLASS_ATTR_COUNT bottom1
CLASS_ATTR_COUNT middle2
CLASS_ATTR_COUNT top1
CLASS_ATTR_COUNT middle1
CLASS_ASSO_CLASS_LIST top2
CLASS_ASSO_CLASS_LIST bottom1
CLASS_ASSO_CLASS_LIST middle2
CLASS_ASSO_CLASS_LIST top1
CLASS_ASSO_CLASS_LIST middle1
CLASS_IMPLEMENT_INTERFACE_LIST top2
CLASS_IMPLEMENT_INTERFACE_LIST bottom1
CLASS_IMPLEMENT_INTERFACE_LIST middle2
CLASS_IMPLEMENT_INTERFACE_LIST top1
CLASS_IMPLEMENT_INTERFACE_LIST middle1
CLASS_TOP_BASE top2
CLASS_TOP_BASE bottom1
CLASS_TOP_BASE middle2
CLASS_TOP_BASE top1
CLASS_TOP_BASE middle1
CLASS_INFO_HIDDEN top2
CLASS_INFO_HIDDEN bottom1
CLASS_INFO_HIDDEN middle2
CLASS_INFO_HIDDEN top1
CLASS_INFO_HIDDEN middle1
CLASS_OPERATION_VISIBILITY top2 Operation3
CLASS_OPERATION_VISIBILITY top2 Operation2
CLASS_OPERATION_VISIBILITY top2 Operation1
CLASS_OPERATION_VISIBILITY bottom1 Operation3
CLASS_OPERATION_VISIBILITY bottom1 Operation2
CLASS_OPERATION_VISIBILITY bottom1 Operation1
CLASS_OPERATION_VISIBILITY middle2 Operation3
CLASS_OPERATION_VISIBILITY middle2 Operation2
CLASS_OPERATION_VISIBILITY middle2 Operation1
CLASS_OPERATION_VISIBILITY top1 Operation3
CLASS_OPERATION_VISIBILITY top1 Operation2
CLASS_OPERATION_VISIBILITY top1 Operation1
CLASS_OPERATION_VISIBILITY middle1 Operation3
CLASS_OPERATION_VISIBILITY middle1 Operation2
CLASS_OPERATION_VISIBILITY middle1 Operation1
CLASS_OPERATION_PARAM_TYPE top2 Operation3
CLASS_OPERATION_PARAM_TYPE top2 Operation2
CLASS_OPERATION_PARAM_TYPE top2 Operation1
CLASS_OPERATION_PARAM_TYPE bottom1 Operation3
CLASS_OPERATION_PARAM_TYPE bottom1 Operation2
CLASS_OPERATION_PARAM_TYPE bottom1 Operation1
CLASS_OPERATION_PARAM_TYPE middle2 Operation3
