CLASS_COUNT
CLASS_OPERATION_COUNT B
CLASS_ATTR_COUNT A
CLASS_ATTR_COUNT B
CLASS_ATTR_COUNT C
CLASS_OPERATION_VISIBILITY A getId
CLASS_OPERATION_VISIBILITY C getId
CLASS_ATTR_VISIBILITY A id1
CLASS_ATTR_VISIBILITY C id1
CLASS_ATTR_TYPE A id1
CLASS_ATTR_TYPE B id1
CLASS_ATTR_TYPE C id1
CLASS_ATTR_TYPE A name
CLASS_ATTR_TYPE B name
CLASS_OPERATION_PARAM_TYPE A getId
CLASS_OPERATION_PARAM_TYPE C getId
CLASS_OPERATION_PARAM_TYPE B getName
CLASS_OPERATION_PARAM_TYPE B setName
CLASS_OPERATION_PARAM_TYPE B setId
CLASS_OPERATION_PARAM_TYPE C getName
